,Date,Customer Type,Delivery Type,Device Type,Revenue,before vs book,book vs select,select vs order,before vs order
14,2017-09-02,New,Store Collection,Desktop ,35261.0,-0.055327868852459015,-0.008676789587852495,-0.0962800875273523,-0.15368852459016394
15,2017-09-02,New,Store Collection,Mobile ,2950.0,-0.11864406779661017,-0.038461538461538464,-0.1,-0.23728813559322035
16,2017-09-03,Existing,Store Collection,Mobile ,344095.0,-0.10541813898704358,-0.06780776826859776,-0.022128060263653482,-0.1845308205732234
17,2017-09-03,New,Home Delivery,Desktop ,292852.0,-0.03723161260849703,-0.13807829181494663,-0.008808147536471236,-0.17747830059387848
18,2017-09-03,Existing,Home Delivery,Mobile ,1634720.0,-0.008940568475452196,-0.04505397090264379,-0.0078086605143886855,-0.06098191214470284
19,2017-09-03,Existing,Home Delivery,Desktop ,1666715.0,-0.02630671461648357,-0.03996964330887933,-0.023399209486166007,-0.08709788659539879
20,2017-09-03,New,Store Collection,Desktop ,33748.0,-0.024390243902439025,-0.0875,-0.03424657534246575,-0.1402439024390244
21,2017-09-03,New,Store Collection,Mobile ,2976.0,-0.13333333333333333,-0.057692307692307696,-0.04081632653061224,-0.21666666666666667
22,2017-09-03,Existing,Store Collection,Desktop ,376697.0,-0.04850019477989871,-0.08515864892528148,-0.04117252181696129,-0.1653681340085703
23,2017-09-03,New,Home Delivery,Mobile ,17903.0,-0.06459948320413436,-0.23756906077348067,-0.07608695652173914,-0.34108527131782945
24,2017-09-04,Existing,Store Collection,Desktop ,373562.0,-0.04306598182536547,-0.08298926507018993,-0.010355695632597929,-0.13156854998024498
25,2017-09-04,Existing,Home Delivery,Mobile ,1606280.0,-0.0717112247852524,-0.06799750467872738,-0.01249442213297635,-0.1456423125180967
26,2017-09-04,New,Store Collection,Mobile ,2989.0,-0.1206896551724138,-0.058823529411764705,-0.020833333333333332,-0.1896551724137931
27,2017-09-04,New,Store Collection,Desktop ,35003.0,-0.029045643153526972,-0.08974358974358974,-0.03051643192488263,-0.14315352697095435
28,2017-09-04,Existing,Home Delivery,Desktop ,1710571.0,-0.03572132439889633,-0.07046139696489705,-0.0380386983289358,-0.137761135199054
29,2017-09-04,New,Home Delivery,Desktop ,310812.0,-0.04656368927691963,-0.12256398215543556,-0.03371688520203372,-0.19162749048578465
30,2017-09-04,Existing,Store Collection,Mobile ,347254.0,-0.04429503658295432,-0.09724808607490172,-0.06257162502865,-0.19122009096302156
31,2017-09-04,New,Home Delivery,Mobile ,18647.0,-0.07435897435897436,-0.2409972299168975,-0.08394160583941605,-0.3564102564102564
32,2017-09-05,Existing,Store Collection,Mobile ,341851.0,-0.0841436793014487,-0.10487540628385698,-0.009198741224885015,-0.1877356618376662
33,2017-09-05,New,Store Collection,Desktop ,35598.0,-0.060784313725490195,-0.04592901878914405,-0.0262582056892779,-0.12745098039215685
34,2017-09-05,New,Home Delivery,Desktop ,300402.0,-0.020609515457136594,-0.15379449294828745,-0.027513227513227514,-0.19403639552729665
35,2017-09-05,Existing,Store Collection,Desktop ,374268.0,-0.017220421393841168,-0.08018965161822304,-0.028014343343792023,-0.12135332252836305
36,2017-09-05,Existing,Home Delivery,Mobile ,1650728.0,-0.02653467367454202,-0.05110866488441579,-0.03568666445696608,-0.10925141603306629
37,2017-09-05,New,Home Delivery,Mobile ,17938.0,-0.1189873417721519,-0.20977011494252873,-0.06545454545454546,-0.3493670886075949
38,2017-09-05,New,Store Collection,Mobile ,3073.0,-0.14516129032258066,-0.05660377358490566,-0.08,-0.25806451612903225
39,2017-09-05,Existing,Home Delivery,Desktop ,1741320.0,-0.01300455159305757,-0.019713170830588354,-0.09067411083540115,-0.12019206722352824
40,2017-09-06,Existing,Home Delivery,Mobile ,1311503.2,-0.09890216182231465,-0.011968656075568913,-0.015698842957249173,-0.12366397446438071
41,2017-09-06,Existing,Store Collection,Desktop ,362007.0,-0.023784901758014478,-0.06419491525423729,-0.013131084446456871,-0.0984488107549121
42,2017-09-06,Existing,Store Collection,Mobile ,274612.0,-0.038117058946052905,-0.12299696838458207,-0.025925925925925925,-0.1782961882941054
43,2017-09-06,New,Home Delivery,Desktop ,301839.0,-0.09017992629525255,-0.1305694543721706,-0.013154288846259249,-0.21938001300672014
44,2017-09-06,New,Store Collection,Desktop ,34555.0,-0.06521739130434782,-0.03805496828752643,-0.05274725274725275,-0.1482213438735178
45,2017-09-06,New,Store Collection,Mobile ,2162.4,-0.13559322033898305,-0.0392156862745098,-0.08163265306122448,-0.23728813559322035
46,2017-09-06,Existing,Home Delivery,Desktop ,1672010.0,-0.04920999853250502,-0.01219323969748418,-0.086875,-0.14239593014723867
47,2017-09-06,New,Home Delivery,Mobile ,13630.4,-0.14634146341463414,-0.17142857142857143,-0.13793103448275862,-0.3902439024390244
48,2017-09-07,New,Store Collection,Desktop ,35233.0,-0.06868686868686869,-0.08026030368763558,-0.02122641509433962,-0.16161616161616163
49,2017-09-07,Existing,Store Collection,Mobile ,359112.0,-0.05035685963521015,-0.1022964509394572,-0.009767441860465116,-0.15582870737509913
50,2017-09-07,Existing,Home Delivery,Desktop ,1679160.0,-0.038680978628759306,-0.05381752338798913,-0.0070167977886455455,-0.09679914901847017
51,2017-09-07,Existing,Store Collection,Desktop ,362010.0,-0.06374665844129139,-0.011860311882275423,-0.008001778172927318,-0.08225375282747276
52,2017-09-07,New,Home Delivery,Mobile ,18632.0,-0.07969151670951156,-0.21508379888268156,-0.042704626334519574,-0.30848329048843187
53,2017-09-07,Existing,Home Delivery,Mobile ,1554484.0,-0.024332966923153794,-0.06775234290981717,-0.06569984618765107,-0.15019486359548317
54,2017-09-07,New,Store Collection,Mobile ,3112.0,-0.11475409836065574,-0.07407407407407407,-0.08,-0.2459016393442623
55,2017-09-07,New,Home Delivery,Desktop ,299517.0,-0.03688069317929349,-0.12433679354094579,-0.07824025289778715,-0.22261719617862696
56,2017-09-08,Existing,Home Delivery,Desktop ,1691311.0,-0.022564746810977965,-0.06352266548025112,-0.02269847972972973,-0.10543100115964438
57,2017-09-08,Existing,Home Delivery,Mobile ,1536876.0,-0.05000247292150947,-0.09339858392336527,-0.015102790857930402,-0.15173846382115833
58,2017-09-08,Existing,Store Collection,Desktop ,375244.0,-0.01314708299096138,-0.05537052456286428,-0.03635962979286029,-0.10168447000821693
59,2017-09-08,New,Store Collection,Desktop ,35948.0,-0.10211946050096339,-0.027896995708154508,-0.046357615894039736,-0.1676300578034682
60,2017-09-08,Existing,Store Collection,Mobile ,352986.0,-0.011242973141786383,-0.10865445356917246,-0.05457122608079376,-0.16677076826983137
61,2017-09-08,New,Home Delivery,Desktop ,301247.0,-0.025976959566297718,-0.12175324675324675,-0.07050435701082651,-0.20487915066636547
62,2017-09-08,New,Store Collection,Mobile ,2891.0,-0.1935483870967742,-0.02,-0.08163265306122448,-0.27419354838709675
63,2017-09-08,New,Home Delivery,Mobile ,18171.0,-0.1259259259259259,-0.2033898305084746,-0.09574468085106383,-0.37037037037037035
64,2017-09-09,Existing,Store Collection,Mobile ,359325.0,-0.10372129849564529,-0.0719964664310954,-0.014516896715849596,-0.18032462391132226
65,2017-09-09,New,Home Delivery,Desktop ,302349.0,-0.019918515165233137,-0.1300230946882217,-0.023626227767454207,-0.16749660479855139
